empresa_id,modelo_codigo,ordem,manobra_codigo,tripulante,status_classificacao,fonte_classificacao,observacoes,source
"6","A139-I-06/12","4","CAU-AFD-41","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","5","FLY-BAS-X2","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","6","OPS-APP-X1","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","7","OPS-APP-X3","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","8","OPS-NAV-X2","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","9","FLY-BAS-X4","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","10","WAR-OUT-15","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","11","FLY-BAS-17","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","12","OPS-NAV-X1","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","13","OPS-NAV-X3","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","14","CAU-HOT-65","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","15","WAR-LOW-29","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","16","WAR-HIG-29","B","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","17","CAU-FLO-73","A","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
"6","A139-I-06/12","18","CAU-LIC-60","AB","migration_verified","worker-airtrust/migrations/0297_tripulante_ab_distribution.sql:modelo_id=21","","scripts/legacy/d1-prod-20260315-193839.sql:modelo_id=21"
