aeronave,modelo_sessao_codigo,modelo_sessao_nome,finalidade,ordem,manobra_codigo,manobra_nome,categoria,tipo_conteudo,aplicabilidade,referencia_pto,referencia_normativa
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,9,CAU-AFD-41,AFCS degraded,AFCS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,10,A139-PRC-02,Aplicação do QRH para caution noturna,PROCEDIMENTO,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,11,WAR-STA-X1,Static port obstruction,AVIONICOS,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,12,A139-NRM-01,Procedimentos normais,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,13,A139-NRM-02,Decolagens & pousos,PROCEDIMENTOS,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,14,A139-VOO-03,Hover & taxi,VOO_BASICO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,15,A139-VOO-01,Controle geral VFR,VOO_BASICO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,16,WAR-OUT-15,Engine failure,POWERPLANT,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,17,A139-VOO-17,Autorotação,VOO_BASICO,PROCEDIMENTO_NORMAL,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
AW139,A139-I-04/12,"AFCS Normal, Automação e Degradações",INICIAL,18,CAU-FLO-73,Fuel low,POWERPLANT,EMERGENCIA,AW139,docs/vendor/pto/relacao_manobras_pto_rev10_ocr.md + docs/analysis/NOTECHS_MODELOS_MANOBRAS_MATRIX_20260702.csv (baseline anterior),
